x,y,yaw,km,kf
1.0,0.0,0.0,0.0,0.0
5.0,-10.0,-0.43633231299858305,0.00175271957121181,1.5089366261215276
10.0,-10.0,-0.43633231299858233,0.007441672608277946,0.3078069521288939
15.0,-10.0,-0.436332312998582,0.011518693185055303,0.10594655454551362
5.0,-8.0,-0.4363323129985816,0.0038431290361709766,1.1516075373760344
10.0,-8.0,-0.43633231299858233,0.012302359464982947,0.21847467994251973
15.0,-8.0,-0.43633231299858216,0.016012937094048097,0.06624332246268062
5.0,-6.0,-0.43633231299858233,0.00921867998947945,0.794278448630536
10.0,-6.0,-0.436332312998582,0.020420208326725676,0.12914240775614572
15.0,-6.0,-0.43633231299858233,0.02157386650018148,0.026540090379847666
5.0,-4.0,-0.43633231299858233,0.024604718929965894,0.43694935988503947
10.0,-4.0,-0.43633231299858216,0.03236079975027221,0.03981013556977154
15.0,-4.0,-0.43633231299858233,0.027338702385880955,0.013163141702985295
5.0,-2.0,-0.43633231299858216,0.06472159950054442,0.07962027113954308
10.0,-2.0,-0.43633231299858244,0.044643918100797375,0.04952213661660263
15.0,-2.0,-0.4363323129985824,0.03153300349216943,0.05286637378581824
5.0,0.0,-0.4363323129985823,0.09714847937291625,0.2777088176059535
10.0,0.0,-0.4363323129985823,0.048574239686458125,0.13885440880297675
15.0,0.0,-0.4363323129985823,0.03238282645763874,0.09256960586865118
5.0,2.0,-0.43633231299858305,0.05884477542475956,0.6350379063514495
10.0,2.0,-0.43633231299858233,0.04107037004070647,0.22818668098935088
15.0,2.0,-0.436332312998582,0.029656739238581382,0.13227283795148417
5.0,4.0,-0.43633231299858233,0.026442002098371782,0.9923669950969465
10.0,4.0,-0.43633231299858305,0.02942238771237978,0.31751895317572476
15.0,4.0,-0.436332312998582,0.024816299071347907,0.17197607003431714
5.0,6.0,-0.43633231299858305,0.012794386449157787,1.3496960838424414
10.0,6.0,-0.43633231299858233,0.019755724708169158,0.40685122536209906
15.0,6.0,-0.43633231299858233,0.019614925141586515,0.21167930211715005
5.0,8.0,-0.4363323129985816,0.006999580997145976,1.7070251725879415
10.0,8.0,-0.43633231299858233,0.013221001049185891,0.49618349754847324
15.0,8.0,-0.4363323129985816,0.015078370447012865,0.25138253419998324
5.0,10.0,-0.43633231299858016,0.0042421138199610344,2.0643542613334414
10.0,10.0,-0.43633231299858305,0.009054529127100967,0.5855157697348468
15.0,10.0,-0.43633231299858233,0.011503124044379455,0.2910857662828159
5.0,-10.0,-1.7763568394002505e-15,0.0015506137147390101,2.3999999999999995
10.0,-10.0,-8.881784197001252e-16,0.0020917310067119226,0.5999999999999999
15.0,-10.0,8.881784197001252e-16,0.0019253025220866103,0.2666666666666667
5.0,-8.0,0.0,0.0022317602706322694,1.92
10.0,-8.0,0.0,0.002572057525487133,0.48
15.0,-8.0,4.440892098500626e-16,0.0020739993703725933,0.21333333333333337
5.0,-6.0,1.7763568394002505e-15,0.0033692429879979002,1.4400000000000004
10.0,-6.0,8.881784197001252e-16,0.003018779505544157,0.3600000000000001
15.0,-6.0,4.440892098500626e-16,0.0020594875292044993,0.16000000000000006
5.0,-4.0,0.0,0.005144115050974266,0.96
10.0,-4.0,0.0,0.00308923129380674,0.24
15.0,-4.0,2.220446049250313e-16,0.0017426914305460114,0.10666666666666669
5.0,-2.0,0.0,0.00617846258761348,0.48
10.0,-2.0,0.0,0.0021522376113372655,0.12
15.0,-2.0,1.1102230246251565e-16,0.0010262980548727436,0.053333333333333344
5.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
5.0,2.0,0.0,0.00617846258761348,0.48
10.0,2.0,0.0,0.0021522376113372655,0.12
15.0,2.0,-1.1102230246251565e-16,0.0010262980548727436,0.053333333333333344
5.0,4.0,0.0,0.005144115050974266,0.96
10.0,4.0,0.0,0.00308923129380674,0.24
15.0,4.0,-2.220446049250313e-16,0.0017426914305460114,0.10666666666666669
5.0,6.0,-1.7763568394002505e-15,0.0033692429879979002,1.4400000000000004
10.0,6.0,-8.881784197001252e-16,0.003018779505544157,0.3600000000000001
15.0,6.0,-4.440892098500626e-16,0.0020594875292044993,0.16000000000000006
5.0,8.0,0.0,0.0022317602706322694,1.92
10.0,8.0,0.0,0.002572057525487133,0.48
15.0,8.0,-4.440892098500626e-16,0.0020739993703725933,0.21333333333333337
5.0,10.0,1.7763568394002505e-15,0.0015506137147390101,2.3999999999999995
10.0,10.0,8.881784197001252e-16,0.0020917310067119226,0.5999999999999999
15.0,10.0,-8.881784197001252e-16,0.0019253025220866103,0.2666666666666667
5.0,-10.0,0.43633231299858016,0.0042421138199610344,2.0643542613334414
10.0,-10.0,0.43633231299858305,0.009054529127100967,0.5855157697348468
15.0,-10.0,0.43633231299858233,0.011503124044379455,0.2910857662828159
5.0,-8.0,0.4363323129985816,0.006999580997145976,1.7070251725879415
10.0,-8.0,0.43633231299858233,0.013221001049185891,0.49618349754847324
15.0,-8.0,0.4363323129985816,0.015078370447012865,0.25138253419998324
5.0,-6.0,0.43633231299858305,0.012794386449157787,1.3496960838424414
10.0,-6.0,0.43633231299858233,0.019755724708169158,0.40685122536209906
15.0,-6.0,0.43633231299858233,0.019614925141586515,0.21167930211715005
5.0,-4.0,0.43633231299858233,0.026442002098371782,0.9923669950969465
10.0,-4.0,0.43633231299858305,0.02942238771237978,0.31751895317572476
15.0,-4.0,0.436332312998582,0.024816299071347907,0.17197607003431714
5.0,-2.0,0.43633231299858305,0.05884477542475956,0.6350379063514495
10.0,-2.0,0.43633231299858233,0.04107037004070647,0.22818668098935088
15.0,-2.0,0.436332312998582,0.029656739238581382,0.13227283795148417
5.0,-0.0,0.4363323129985823,0.09714847937291625,0.2777088176059535
10.0,-0.0,0.4363323129985823,0.048574239686458125,0.13885440880297675
15.0,-0.0,0.4363323129985823,0.03238282645763874,0.09256960586865118
5.0,2.0,0.43633231299858216,0.06472159950054442,0.07962027113954308
10.0,2.0,0.43633231299858244,0.044643918100797375,0.04952213661660263
15.0,2.0,0.4363323129985824,0.03153300349216943,0.05286637378581824
5.0,4.0,0.43633231299858233,0.024604718929965894,0.43694935988503947
10.0,4.0,0.43633231299858216,0.03236079975027221,0.03981013556977154
15.0,4.0,0.43633231299858233,0.027338702385880955,0.013163141702985295
5.0,6.0,0.43633231299858233,0.00921867998947945,0.794278448630536
10.0,6.0,0.436332312998582,0.020420208326725676,0.12914240775614572
15.0,6.0,0.43633231299858233,0.02157386650018148,0.026540090379847666
5.0,8.0,0.4363323129985816,0.0038431290361709766,1.1516075373760344
10.0,8.0,0.43633231299858233,0.012302359464982947,0.21847467994251973
15.0,8.0,0.43633231299858216,0.016012937094048097,0.06624332246268062
5.0,10.0,0.43633231299858305,0.00175271957121181,1.5089366261215276
10.0,10.0,0.43633231299858233,0.007441672608277946,0.3078069521288939
15.0,10.0,0.436332312998582,0.011518693185055303,0.10594655454551362
